Zip Code,Month,Year,Power
90077,7,2005,1847
90094,7,2005,301
90210,7,2005,2108
90211,7,2005,0
90212,7,2005,597
90213,7,2005,0
90230,7,2005,341
90232,7,2005,252
90245,7,2005,614
90247,7,2005,354
90077,8,2005,1814
90094,8,2005,321
90210,8,2005,2080
90211,8,2005,0
90212,8,2005,619
90213,8,2005,0
90230,8,2005,361
90232,8,2005,280
90245,8,2005,633
90247,8,2005,365
90077,9,2005,1701
90094,9,2005,315
90210,9,2005,1973
90211,9,2005,0
90212,9,2005,582
90213,9,2005,0
90230,9,2005,349
90232,9,2005,275
90245,9,2005,590
90247,9,2005,349
90077,10,2005,1708
90094,10,2005,348
90210,10,2005,1914
90211,10,2005,0
90212,10,2005,583
90213,10,2005,0
90230,10,2005,359
90232,10,2005,252
90245,10,2005,547
90247,10,2005,353
90077,11,2005,1580
90094,11,2005,335
90210,11,2005,1754
90211,11,2005,0
90212,11,2005,583
90213,11,2005,0
90230,11,2005,349
90232,11,2005,244
90245,11,2005,558
90247,11,2005,359
90077,12,2005,1645
90094,12,2005,338
90210,12,2005,1854
90211,12,2005,0
90212,12,2005,641
90213,12,2005,0
90230,12,2005,407
90232,12,2005,276
90245,12,2005,660
90247,12,2005,401
90077,1,2006,1660
90094,1,2006,345
90210,1,2006,1897
90211,1,2006,0
90212,1,2006,646
90213,1,2006,0
90230,1,2006,407
90232,1,2006,278
90245,1,2006,650
90247,1,2006,399
90077,2,2006,1486
90094,2,2006,325
90210,2,2006,1694
90211,2,2006,0
90212,2,2006,579
90213,2,2006,0
90230,2,2006,367
90232,2,2006,249
90245,2,2006,542
90247,2,2006,351
90077,3,2006,1622
90094,3,2006,350
90210,3,2006,1849
90211,3,2006,0
90212,3,2006,629
90213,3,2006,0
90230,3,2006,405
90232,3,2006,276
90245,3,2006,598
90247,3,2006,381
90077,4,2006,1580
90094,4,2006,312
90210,4,2006,1792
90211,4,2006,0
90212,4,2006,587
90213,4,2006,0
90230,4,2006,340
90232,4,2006,259
90245,4,2006,565
90247,4,2006,347
90077,5,2006,1665
90094,5,2006,349
90210,5,2006,1893
90211,5,2006,0
90212,5,2006,626
90213,5,2006,0
90230,5,2006,352
90232,5,2006,268
90245,5,2006,575
90247,5,2006,364
90077,6,2006,1776
90094,6,2006,380
90210,6,2006,2165
90211,6,2006,0
90212,6,2006,633
90213,6,2006,0
90230,6,2006,384
90232,6,2006,300
90245,6,2006,526
90247,6,2006,368
90077,7,2006,2150
90094,7,2006,364
90210,7,2006,2481
90211,7,2006,0
90212,7,2006,534
90213,7,2006,0
90230,7,2006,392
90232,7,2006,311
90245,7,2006,540
90247,7,2006,382
90077,8,2006,2025
90094,8,2006,390
90210,8,2006,2292
90211,8,2006,0
90212,8,2006,546
90213,8,2006,0
90230,8,2006,359
90232,8,2006,298
90245,8,2006,528
90247,8,2006,385
90077,9,2006,1778
90094,9,2006,360
90210,9,2006,2086
90211,9,2006,0
90212,9,2006,526
90213,9,2006,0
90230,9,2006,347
90232,9,2006,287
90245,9,2006,497
90247,9,2006,363
90077,10,2006,1785
90094,10,2006,336
90210,10,2006,2023
90211,10,2006,0
90212,10,2006,508
90213,10,2006,0
90230,10,2006,355
90232,10,2006,272
90245,10,2006,476
90247,10,2006,356
90077,11,2006,1640
90094,11,2006,326
90210,11,2006,1856
90211,11,2006,0
90212,11,2006,472
90213,11,2006,0
90230,11,2006,346
90232,11,2006,258
90245,11,2006,481
90247,11,2006,369
90077,12,2006,1723
90094,12,2006,341
90210,12,2006,1938
90211,12,2006,0
90212,12,2006,539
90213,12,2006,0
90230,12,2006,433
90232,12,2006,312
90245,12,2006,557
90247,12,2006,432
90077,1,2007,1762
90094,1,2007,343
90210,1,2007,1953
90211,1,2007,0
90212,1,2007,555
90213,1,2007,0
90230,1,2007,431
90232,1,2007,319
90245,1,2007,542
90247,1,2007,421
90077,2,2007,1542
90094,2,2007,308
90210,2,2007,1715
90211,2,2007,0
90212,2,2007,460
90213,2,2007,0
90230,2,2007,348
90232,2,2007,246
90245,2,2007,433
90247,2,2007,349
90077,3,2007,1608
90094,3,2007,349
90210,3,2007,1837
90211,3,2007,0
90212,3,2007,489
90213,3,2007,0
90230,3,2007,383
90232,3,2007,269
90245,3,2007,482
90247,3,2007,375
90077,4,2007,1547
90094,4,2007,328
90210,4,2007,1784
90211,4,2007,0
90212,4,2007,468
90213,4,2007,0
90230,4,2007,341
90232,4,2007,263
90245,4,2007,480
90247,4,2007,337
90077,5,2007,1592
90094,5,2007,359
90210,5,2007,1852
90211,5,2007,0
90212,5,2007,477
90213,5,2007,0
90230,5,2007,353
90232,5,2007,270
90245,5,2007,500
90247,5,2007,356
