source,target,value
Valtteri Bottas,Williams,85
Jenson Button,McLaren,21
Felipe Nasr,Sauber,2
Daniil Kvyat,Toro Rosso,25
Lewis Hamilton,Mercedes,380
Sebastian Vettel,Ferrari,212
Sergio Prez,Force India,101
Carlos Sainz,Toro Rosso,46
Jolyon Palmer,Renault,1
Pascal Wehrlein,Manor Marussia,1
Felipe Massa,Williams,53
Daniel Ricciardo,Red Bull,256
Romain Grosjean,Haas F1 Team,29
Nico Rosberg,Mercedes,385
Kimi Rikknen,Ferrari,186
Stoffel Vandoorne,McLaren,1
Fernando Alonso,McLaren,54
Nico Hlkenberg,Force India,72
Max Verstappen,Red Bull,204
Kevin Magnussen,Renault,7
Australian Grand Prix,Nico Rosberg,25
Australian Grand Prix,Lewis Hamilton,18
Australian Grand Prix,Sebastian Vettel,15
Australian Grand Prix,Daniel Ricciardo,12
Australian Grand Prix,Felipe Massa,10
Australian Grand Prix,Romain Grosjean,8
Australian Grand Prix,Nico Hlkenberg,6
Australian Grand Prix,Valtteri Bottas,4
Australian Grand Prix,Carlos Sainz,2
Australian Grand Prix,Max Verstappen,1
Bahrain Grand Prix,Nico Rosberg,25
Bahrain Grand Prix,Kimi Rikknen,18
Bahrain Grand Prix,Lewis Hamilton,15
Bahrain Grand Prix,Daniel Ricciardo,12
Bahrain Grand Prix,Romain Grosjean,10
Bahrain Grand Prix,Max Verstappen,8
Bahrain Grand Prix,Daniil Kvyat,6
Bahrain Grand Prix,Felipe Massa,4
Bahrain Grand Prix,Valtteri Bottas,2
Bahrain Grand Prix,Stoffel Vandoorne,1
Chinese Grand Prix,Nico Rosberg,25
Chinese Grand Prix,Sebastian Vettel,18
Chinese Grand Prix,Daniil Kvyat,15
Chinese Grand Prix,Daniel Ricciardo,12
Chinese Grand Prix,Kimi Rikknen,10
Chinese Grand Prix,Felipe Massa,8
Chinese Grand Prix,Lewis Hamilton,6
Chinese Grand Prix,Max Verstappen,4
Chinese Grand Prix,Carlos Sainz,2
Chinese Grand Prix,Valtteri Bottas,1
Russian Grand Prix,Nico Rosberg,25
Russian Grand Prix,Lewis Hamilton,18
Russian Grand Prix,Kimi Rikknen,15
Russian Grand Prix,Valtteri Bottas,12
Russian Grand Prix,Felipe Massa,10
Russian Grand Prix,Fernando Alonso,8
