id	rate
0001	5.1
0003	4.9
05	8.6
0007	6.2
0009	5.1
0011	7.1
0013	6.7
0015	6.1
0017	5.0
0019	5.0
0021	5.2
0023	7.9
0025	11.1
0027	5.9
0029	5.5
0031	5.6
0033	6.5
0035	7.7
01037	5.7
01039	6.7
01041	5.7
01043	4.8
01045	5.6
01047	9.5
01049	5.7
01051	4.7
01053	6.3
01055	5.7
01057	6.6
01059	5.5
01061	5.4
01063	9.3
01065	7.6
01067	6.3
01069	5.6
01071	5.9
01073	5.5
01075	5.2
01077	6.0
01079	6.4
01081	4.9
01083	5.0
01085	10.3
01087	7.2
01089	4.9
01091	6.9
01093	6.1
01095	5.1
01097	6.5
01099	8.6
01101	5.6
01103	5.2
01105	10.9
01107	6.7
01109	6.4
01111	5.7
01113	5.3
01115	5.0
01117	4.2
01119	7.3
01121	6.4
01123	5.1
01125	5.5
01127	7.2
01129	8.3
01131	13.9
01133	7.0
02013	1.9
02016	2.2
02020	5.0
02050	14.1
02060	5.6
02068	3.2
02070	8.1
02090	4.9
02100	5.9
02105	7.3
02110	3.6
02122	6.9
02130	4.4
02150	4.8
02158	21.7
02164	9.2
02170	7.4
02180	13.6
02185	6.9
02188	16.5
02195	5.7
02198	9.4
02220	3.0
02230	3.0
02240	8.7
02261	5.4
02275	5.4
02282	5.8
02290	16.4
04001	11.8
04003	6.5
04005	6.4
04007	7.6
04009	7.3
04011	7.7
04012	6.6
04013	4.9
04015	7.0
04017	8.5
04019	5.4
04021	5.9
04023	13.0
04025	5.0
04027	24.4
05001	3.2
05003	6.3
05005	4.1
05007	2.7
05009	3.3
05011	5.9
05013	5.1
05015	2.8
05017	6.0
05019	4.5
05021	5.0
05023	5.7
05025	4.4
05027	5.7
05029	5.9
05031	3.1
05033	3.7
05035	4.4
05037	3.9
05039	5.0
05041	5.1
05043	5.7
05045	3.7
05047	3.9
05049	3.9
05051	4.0
05053	3.2
05055	4.0
05057	3.7
05059	3.6
05061	3.4
05063	5.0
05065	5.3
05067	5.9
05069	5.9
05071	4.8
05073	6.2
05075	4.5
05077	4.5
05079	4.9
05081	5.1
05083	4.4
05085	3.2
05087	3.0
05089	3.8
05091	4.3
05093	7.1
05095	4.5
05097	4.6
05099	3.7
05101	3.6
05103	5.6
05105	4.4
05107	5.5
05109	3.8
05111	4.1
05113	4.7
05115	4.7
05117	3.7
05119	3.5
05121	4.6
05123	5.0
05125	3.0
05127	3.7
05129	4.3
05131	3.5
05133	4.8
05135	5.2
05137	4.8
05139	5.6
05141	6.4
05143	2.6
05145	4.8
05147	5.3
05149	4.4
06001	4.6
06003	7.3
06005	5.7
06007	6.6
06009	5.7
06011	10.0
06013	4.7
06015	7.3
06017	5.1
06019	8.7
06021	7.9
06023	5.1
06025	26.4
06027	4.9
06029	9.7
06031	8.9
06033	6.3
06035	6.1
06037	5.3
06039	8.2
06041	3.5
06043	5.4
06045	5.0
06047	9.2
06049	6.6
06051	5.2
06053	5.6
06055	4.0
06057	4.8
06059	4.3
06061	4.7
06063	7.1
06065	6.9
06067	5.7
06069	6.2
06071	6.2
06073	5.0
06075	3.5
06077	7.7
06079	4.5
06081	3.2
06083	4.8
06085	4.0
06087	5.7
06089	6.8
06091	6.6
06093	7.1
06095	5.7
06097	4.1
06099	7.9
06101	7.9
06103	7.4
06105	5.9
06107	10.6
06109	6.1
06111	5.7
06113	5.5
06115	8.0
08001	3.6
08003	4.3
08005	3.2
08007	3.1
08009	1.8
08011	3.1
08013	2.9
08014	3.1
08015	2.4
08017	2.7
08019	3.3
08021	4.9
08023	4.8
08025	3.6
08027	3.0
08029	4.7
08031	3.2
08033	4.1
08035	2.8
08037	2.5
08039	2.6
08041	3.9
08043	5.1
08045	3.3
08047	2.6
08049	2.3
08051	2.1
08053	2.0
08055	6.2
08057	2.3
08059	3.1
08061	2.1
08063	1.8
08065	2.6
08067	2.9
08069	2.9
08071	5.0
08073	2.5
08075	3.3
08077	5.3
08079	1.7
08081	3.6
08083	4.5
08085	3.9
08087	3.5
08089	4.6
08091	3.2
08093	2.7
08095	2.3
08097	2.7
08099	3.5
08101	4.9
08103	5.1
08105	5.1
08107	2.6
08109	5.9
08111	2.4
08113	2.4
08115	2.2
08117	2.1
08119	3.7
08121	2.1
08123	3.5
08125	2.2
09001	5.2
09003	6.0
09005	4.8
09007	4.8
09009	6.1
09011	5.4
09013	4.8
09015	5.8
10001	5.1
10003	4.5
10005	3.7
11001	6.5
12001	4.4
12003	4.7
12005	4.6
12007	4.2
12009	5.2
12011	4.6
12013	5.9
12015	5.3
12017	6.8
12019	4.4
12021	5.3
12023	4.8
12027	6.1
12029	5.3
12031	5.1
12033	5.0
12035	5.4
12037	4.1
12039	6.3
12041	5.1
12043	6.9
12045	4.3
12047	4.4
12049	7.2
12051	11.5
12053	6.0
12055	6.9
12057	4.5
12059	5.6
12061	6.6
12063	5.4
12065	5.3
12067	3.8
12069	4.7
12071	4.7
12073	4.7
12075	5.2
12077	5.4
12079	5.3
12081	4.6
12083	5.9
12085	5.0
12086	5.6
12087	3.1
12089	4.6
12091	3.9
12093	5.8
12095	4.3
12097	5.0
12099	5.1
12101	5.1
12103	4.3
12105	5.8
12107	6.0
12109	3.6
12111	6.0
12113	4.6
12115	4.5
12117	4.2
12119	6.7
12121	5.1
12123	5.5
12125	4.6
12127	5.0
12129	4.1
12131	4.1
12133	5.0
13001	6.9
13003	4.6
13005	5.2
13007	8.3
13009	7.2
13011	4.8
13013	4.6
13015	5.0
13017	8.1
13019	6.1
13021	5.7
13023	7.6
13025	6.6
13027	4.8
13029	4.8
13031	5.6
13033	7.5
13035	5.2
13037	6.0
13039	5.7
13043	4.7
13045	5.9
13047	4.8
13049	5.8
13051	5.0
13053	8.6
13055	6.1
13057	4.1
13059	5.4
13061	9.6
13063	6.4
13065	6.0
13067	4.4
13069	5.6
13071	5.3
13073	4.8
13075	5.2
13077	4.9
13079	5.5
13081	5.9
13083	5.1
13085	4.5
13087	6.5
13089	5.2
13091	7.0
13093	5.5
13095	6.8
13097	5.3
13099	6.7
13101	4.5
13103	4.7
13105	6.2
13107	7.4
13109	4.8
13111	5.0
13113	4.7
13115	5.9
13117	4.1
13119	5.5
13121	5.2
13123	5.4
13125	6.3
13127	5.0
13129	5.3
13131	5.4
13133	5.9
13135	4.6
13137	5.0
13139	4.4
13141	8.9
13143	5.6
13145	4.7
13147	5.3
13149	5.8
13151	5.4
13153	5.3
13155	7.3
13157	4.1
13159	4.7
13161	6.3
13163	7.0
13165	7.1
13167	6.0
13169	4.6
13171	6.4
13173	5.3
13175	6.4
13177	4.8
13179	5.7
13181	5.7
13183	5.6
13185	5.2
13187	5.0
13189	7.2
13191	5.5
13193	7.6
13195	4.7
13197	6.9
13199	6.8
13201	5.5
13205	6.3
13207	4.9
13209	7.1
13211	4.8
13213	6.6
13215	6.6
13217	5.8
13219	4.0
13221	4.5
13223	4.5
13225	6.4
13227	4.8
13229	5.3
13231	5.1
13233	5.7
13235	5.6
13237	6.8
13239	7.7
13241	5.4
13243	8.6
13245	6.5
13247	5.5
13249	6.4
13251	6.9
13253	7.5
13255	6.5
13257	5.9
13259	5.8
13261	7.4
13263	6.6
13265	6.6
13267	5.4
13269	7.0
13271	7.7
13273	6.0
13275	6.3
13277	5.6
13279	7.3
13281	6.3
13283	7.3
13285	5.0
13287	6.4
13289	8.2
13291	4.5
13293	6.2
13295	5.3
13297	4.7
13299	5.4
13301	7.0
13303	6.3
13305	6.6
13307	8.6
13309	8.5
13311	4.4
13313	5.7
13315	6.8
13317	6.7
13319	6.0
13321	5.8
15001	4.1
15003	3.0
15007	3.4
15009	3.4
16001	3.5
16003	4.9
16005	3.6
16007	3.4
16009	4.6
16011	3.7
16013	2.8
16015	4.9
16017	4.3
16019	3.2
16021	4.1
16023	3.7
16025	2.6
16027	4.4
16029	3.2
16031	2.9
16033	3.3
16035	5.9
16037	4.1
16039	4.2
16041	2.9
16043	3.2
16045	4.3
16047	3.0
16049	4.8
16051	3.1
16053	2.8
16055	4.0
16057	3.2
16059	4.8
16061	6.9
16063	3.6
16065	2.9
16067	3.1
16069	3.1
16071	3.1
16073	3.7
16075	4.1
16077	4.2
16079	5.9
16081	2.0
16083	3.4
16085	4.2
16087	5.3
17001	4.7
17003	9.5
17005	4.7
17007	5.8
17009	3.2
17011	5.8
17013	5.7
17015	4.8
17017	4.8
17019	5.0
17021	5.8
17023	5.5
17025	6.4
17027	4.1
17029	6.0
17031	5.7
17033	5.6
17035	5.0
17037	5.0
17039	5.6
17041	4.6
17043	4.4
17045	6.1
17047	5.2
17049	4.5
17051	6.0
17053	5.3
17055	8.0
17057	6.9
17059	7.6
17061	5.3
17063	5.9
17065	6.1
17067	6.9
17069	8.1
17071	5.8
17073	5.4
17075	4.9
17077	5.5
17079	6.2
17081	6.5
17083	5.5
17085	4.4
17087	8.3
17089	5.1
17091	6.1
17093	4.7
17095	5.6
17097	4.8
17099	6.2
17101	7.6
17103	4.8
17105	5.2
17107	5.1
17109	6.8
17111	4.6
17113	5.1
17115	6.6
17117	5.5
17119	6.0
17121	6.2
17123	5.9
17125	7.1
17127	7.4
17129	3.9
17131	5.3
17133	3.9
17135	6.3
17137	4.6
17139	4.5
17141	5.3
17143	6.6
17145	6.9
17147	4.8
17149	4.4
17151	6.8
17153	8.6
17155	5.2
17157	4.8
17159	5.8
17161	6.0
17163	6.2
17165	8.1
17167	4.6
17169	4.9
17171	4.3
17173	5.6
17175	6.7
17177	5.6
17179	6.0
17181	7.1
17183	7.1
17185	6.5
17187	5.2
17189	3.8
17191	8.4
17193	6.2
17195	5.8
17197	5.4
17199	6.2
17201	6.4
17203	4.9
18001	3.8
18003	4.3
18005	3.6
18007	4.3
18009	5.7
18011	3.6
18013	3.8
18015	4.4
18017	4.7
18019	4.4
18021	5.0
18023	4.0
18025	5.6
18027	3.6
18029	4.7
18031	3.6
18033	4.2
18035	5.5
18037	3.3
18039	4.0
18041	5.9
18043	4.4
18045	5.9
18047	4.2
18049	4.8
18051	3.8
18053	5.1
18055	6.6
18057	3.4
18059	4.0
18061	4.4
18063	3.6
18065	4.7
18067	4.8
18069	4.2
18071	4.0
18073	5.1
18075	4.7
18077	5.0
18079	4.8
18081	3.8
18083	4.5
18085	4.0
18087	3.7
18089	6.6
18091	6.0
18093	5.6
18095	4.9
18097	4.7
18099	3.9
18101	4.1
18103	4.8
18105	5.1
18107	4.1
18109	4.2
18111	5.3
18113	4.2
18115	4.9
18117	5.2
18119	5.4
18121	5.1
18123	4.9
18125	4.6
18127	5.3
18129	4.3
18131	4.6
18133	4.5
18135	4.5
18137	4.5
18139	4.0
18141	5.0
18143	4.9
18145	4.0
18147	4.2
18149	5.2
18151	3.8
18153	6.1
18155	5.3
18157	4.3
18159	3.8
18161	4.2
18163	4.4
18165	6.5
18167	5.7
18169	4.5
18171	5.0
18173	4.4
18175	4.6
18177	4.9
